career;material;density_in_solid_t_m3;loosening_coefficient
карьер Долина;ПСП;1.6;1.15
карьер Долина;Рыхлая порода;1.95;1.33
карьер Долина;Скальная порода;2.68;1.51
карьер Долина;Окисленная руда;2.15;1.4
карьер Долина;Переходная руда;2.34;1.5
карьер Долина;Первичная сульфидная руда;2.55;1.5
карьер Центральный;ПСП;1.6;1.15
карьер Центральный;Рыхлая порода;1.95;1.33
карьер Центральный;Скальная порода;2.62;1.51
карьер Центральный;Окисленная руда;1.95;1.4
карьер Центральный;Переходная руда;2.09;1.5
карьер Центральный;Первичная сульфидная руда;2.58;1.5
карьер Свобода;ПСП;1.6;1.15
карьер Свобода;Рыхлая порода;1.94;1.33
карьер Свобода;Скальная порода;2.71;1.51
карьер Свобода;Окисленная руда;1.91;1.4
карьер Свобода;Переходная руда;2.05;1.5
карьер Свобода;Первичная сульфидная руда;2.58;1.5
