truck_sk;truck_code;truck_name;gov_number;ident_number;model_name;payload_t;is_active;source_system_code;valid_from;valid_to
1;10;Самосвал 10;;Y3B7513DCR0005412;БелАЗ 7513D;140;True;driver_form;2026-03-31;
2;11;Самосвал 11;;Y3В7513DVS0005465;БелАЗ 7513D;140;True;driver_form;2026-03-31;
3;12;Самосвал 12;;Y3В7513DAS0005466;БелАЗ 7513D;140;True;driver_form;2026-03-31;
4;13;Самосвал 13;;Y3B7513DLR0005415;БелАЗ 7513D;140;True;driver_form;2026-03-31;
5;14;Самосвал 14;;Y3B7513DHR0005416;БелАЗ 7513D;140;True;driver_form;2026-03-31;
6;15;Самосвал 15;;Y3В7513DLS0005470;БелАЗ 7513D;140;True;driver_form;2026-03-31;
7;16;Самосвал 16;;Y3B7513DCR0005418;БелАЗ 7513D;140;True;driver_form;2026-03-31;
8;17;Самосвал 17;;Y3B7513DTR0005419;БелАЗ 7513D;140;True;driver_form;2026-03-31;
9;18;Самосвал 18;;Y3B7513DER0005420;БелАЗ 7513D;140;True;driver_form;2026-03-31;
10;19;Самосвал 19;;Y3B7513DCR0005421;БелАЗ 7513D;140;True;driver_form;2026-03-31;
11;20;Самосвал 20;;Y3В7513DPR0005454;БелАЗ 7513D;140;True;driver_form;2026-03-31;
12;21;Самосвал 21;;Y3В7513DKR0005455;БелАЗ 7513D;140;True;driver_form;2026-03-31;
13;22;Самосвал 22;;Y3В7513DAR0005462;БелАЗ 7513D;140;True;driver_form;2026-03-31;
14;23;Самосвал 23;;Y3В7513DVR0005458;БелАЗ 7513D;140;True;driver_form;2026-03-31;
15;24;Самосвал 24;;Y3В7513DAR0005459;БелАЗ 7513D;140;True;driver_form;2026-03-31;
16;25;Самосвал 25;;Y3В7513DJR0005456;БелАЗ 7513D;140;True;driver_form;2026-03-31;
17;26;Самосвал 26;;Y3B7513DAR0005414;БелАЗ 7513D;140;True;driver_form;2026-03-31;
18;27;Самосвал 27;;Y3В7513DCS0005463;БелАЗ 7513D;140;True;driver_form;2026-03-31;
19;28;Самосвал 28;;Y3B7513DVR0005413;БелАЗ 7513D;140;True;driver_form;2026-03-31;
20;29;Самосвал 29;;Y3B7513DER0005464;БелАЗ 7513D;140;True;driver_form;2026-03-31;
21;30;Самосвал 30;;Y3В7513DES0005469;БелАЗ 7513D;140;True;driver_form;2026-03-31;
22;31;Самосвал 31;;Y3В7513DHS0005471;БелАЗ 7513D;140;True;driver_form;2026-03-31;
23;32;Самосвал 32;;Y3B7513DER0005417;БелАЗ 7513D;140;True;driver_form;2026-03-31;
